log_timestamp,esp_timestamp,battery_voltage,signal_strength,uptime_seconds,running_led,dfplayer_available,water_intrusion,water_sensor_raw,connection_status,ip_address
2026-02-28T20:42:21.497Z,407084,7.73V,-57dBm,399,0,1,1,0,online,172.20.10.6
2026-02-28T20:42:49.588Z,435143,8.01V,-46dBm,427,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:50.596Z,436183,7.99V,-32dBm,429,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:51.720Z,437303,7.80V,-21dBm,430,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:52.936Z,438523,7.95V,-20dBm,431,0,1,0,1,online,172.20.10.6
2026-02-28T20:42:53.867Z,439443,7.88V,-35dBm,432,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:00.812Z,446402,8.02V,-45dBm,439,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:01.839Z,447422,7.92V,-49dBm,440,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:03.015Z,448602,8.04V,-57dBm,441,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:03.918Z,449502,8.07V,-66dBm,442,0,1,0,1,online,172.20.10.6
2026-02-28T20:43:26.437Z,472021,7.97V,-37dBm,464,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:27.476Z,473061,7.86V,-41dBm,465,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:28.595Z,474181,8.02V,-24dBm,467,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:29.698Z,475281,7.82V,-28dBm,468,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:30.739Z,476321,7.88V,-42dBm,469,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:31.859Z,477441,7.93V,-36dBm,470,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:33.023Z,478601,7.87V,-40dBm,471,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:34.097Z,479681,7.92V,-30dBm,472,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:35.282Z,480861,7.91V,-31dBm,473,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:36.194Z,481781,8.00V,-27dBm,474,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:53.091Z,498680,7.88V,-45dBm,491,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:54.216Z,499800,7.65V,-57dBm,492,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:55.317Z,500900,8.04V,-58dBm,493,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:56.333Z,501920,7.93V,-52dBm,494,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:57.453Z,503040,8.02V,-51dBm,495,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:58.575Z,504160,8.17V,-56dBm,497,0,1,1,0,online,172.20.10.6
2026-02-28T20:43:59.596Z,505180,7.86V,-43dBm,498,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:00.615Z,506200,8.04V,-49dBm,499,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:01.652Z,507240,8.06V,-38dBm,500,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:02.776Z,508360,8.00V,-43dBm,501,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:03.937Z,509501,8.00V,-50dBm,502,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:05.016Z,510600,8.02V,-51dBm,503,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:05.953Z,511540,7.87V,-51dBm,504,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:07.934Z,513520,8.26V,-41dBm,506,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:08.918Z,514500,7.99V,-35dBm,507,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:14.697Z,520279,8.13V,-75dBm,513,0,1,1,0,online,172.20.10.6
2026-02-28T20:44:15.676Z,521259,8.02V,-46dBm,514,0,1,1,0,online,172.20.10.6
2026-02-28T20:45:41.716Z,607296,8.02V,-50dBm,600,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:42.736Z,608316,8.02V,-46dBm,601,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:43.893Z,609456,8.03V,-41dBm,602,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:44.859Z,610436,7.87V,-42dBm,603,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:45.918Z,611476,7.99V,-53dBm,604,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:46.818Z,612396,8.18V,-58dBm,605,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:47.885Z,613457,8.01V,-38dBm,606,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:48.868Z,614436,7.86V,-40dBm,607,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:49.902Z,615476,7.93V,-50dBm,608,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:50.952Z,616516,7.80V,-49dBm,609,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:51.873Z,617436,7.76V,-51dBm,610,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:52.860Z,618436,8.09V,-56dBm,611,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:53.877Z,619456,7.72V,-56dBm,612,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:54.944Z,620516,8.02V,-49dBm,613,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:55.948Z,621515,7.74V,-54dBm,614,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:56.865Z,622435,7.83V,-54dBm,615,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:57.920Z,623477,7.87V,-46dBm,616,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:58.920Z,624495,7.82V,-46dBm,617,0,1,0,1,online,172.20.10.6
2026-02-28T20:45:59.870Z,625435,7.98V,-50dBm,618,0,1,0,1,online,172.20.10.6
